"filename", "language", "TypeScript", "XML", "JavaScript", "JSON with Comments", "JSON", "Markdown", "CSS", "TypeScript JSX", "SCSS", "comment", "blank", "total"
"c:\Users\J4yJ3ff\Desktop\grace\README.md", "Markdown", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 14, 37
"c:\Users\J4yJ3ff\Desktop\grace\components.json", "JSON", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 21
"c:\Users\J4yJ3ff\Desktop\grace\eslint.config.mjs", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\J4yJ3ff\Desktop\grace\next.config.mjs", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 2, 3, 24
"c:\Users\J4yJ3ff\Desktop\grace\package-lock.json", "JSON", 0, 0, 0, 0, 10902, 0, 0, 0, 0, 0, 1, 10903
"c:\Users\J4yJ3ff\Desktop\grace\package.json", "JSON", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 1, 55
"c:\Users\J4yJ3ff\Desktop\grace\payload.config.ts", "TypeScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 46
"c:\Users\J4yJ3ff\Desktop\grace\postcss.config.mjs", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 2, 9
"c:\Users\J4yJ3ff\Desktop\grace\public\assets\Group_5334_wdXH8uKFtZlb_tWnT7OV6.svg", "XML", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\J4yJ3ff\Desktop\grace\public\assets\Skills_Card_Icon_(1)_8z5GOmSorb9N6n0nMbiFm.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\J4yJ3ff\Desktop\grace\public\assets\Skills_Card_Icon_(2)_pN5QqxCAL_eVcsO64hLEq.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\J4yJ3ff\Desktop\grace\public\assets\Skills_Card_Icon__LpNTqv86nnJshCYxjKmf.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\J4yJ3ff\Desktop\grace\public\assets\Stars_PUGP0ytcpz_q4u_zu1f6D.svg", "XML", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\J4yJ3ff\Desktop\grace\public\assets\geekbitsLLC_m9tvnxproq9DJOzCf0cYY.svg", "XML", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\J4yJ3ff\Desktop\grace\public\assets\grace._(1)_AdzdACYzo4yL4i-2eNah6.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\J4yJ3ff\Desktop\grace\public\assets\grace._XdehudAbp16HLewMf7J7q.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
